fecha,creative_file,producto,formato,angulo,cta,placement,utm_source,utm_medium,utm_campaign,utm_content,utm_term,landing_url,final_url
2025-11-15,ad_curso_ia_1200x627_social_proof.svg,cursoia,1200x627,socialproof,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_socialproof_alumnos_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_socialproof_alumnos_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_curso_ia_1200x627_urgency.svg,cursoia,1200x627,urgency,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_urgency_limitado_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_urgency_limitado_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_curso_ia_1200x627_v2.svg,cursoia,1200x627,base,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_base_cta_registro_v2,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_base_cta_registro_v2&utm_term=student_mx
2025-11-15,ad_curso_ia_1200x627_light.svg,cursoia,1200x627,light,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_light_beneficio_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_light_beneficio_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_curso_ia_1080x1080_metrics.svg,cursoia,1080x1080,metrics,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_sq_metrics_tiempo_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_sq_metrics_tiempo_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_curso_ia_1080x1080.svg,cursoia,1080x1080,base,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_sq_base_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_sq_base_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_curso_ia_1080x1920_metrics.svg,cursoia,1080x1920,metrics,registro,stories,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_vt_metrics_tiempo_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_vt_metrics_tiempo_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_curso_ia_1080x1920.svg,cursoia,1080x1920,base,registro,stories,linkedin,cpc,cursoia_registro_linkedin_2025-11,curso_vt_base_cta_registro_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=curso_vt_base_cta_registro_v1&utm_term=student_mx
2025-11-15,ad_saas_ia_marketing_1200x627_metrics.svg,saasia,1200x627,metrics,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_metrics_eficiencia_cta_trial_v1,cmo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_metrics_eficiencia_cta_trial_v1&utm_term=cmo_mx
2025-11-15,ad_saas_ia_marketing_1200x627_social_proof.svg,saasia,1200x627,socialproof,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_socialproof_clientes_cta_trial_v1,cdo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_socialproof_clientes_cta_trial_v1&utm_term=cdo_mx
2025-11-15,ad_saas_ia_marketing_1200x627_urgency.svg,saasia,1200x627,urgency,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_urgency_limitado_cta_trial_v1,founder_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_urgency_limitado_cta_trial_v1&utm_term=founder_mx
2025-11-15,ad_saas_ia_marketing_1200x627_v2.svg,saasia,1200x627,base,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_base_cta_trial_v2,cmo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_base_cta_trial_v2&utm_term=cmo_mx
2025-11-15,ad_saas_ia_marketing_1200x627_light.svg,saasia,1200x627,light,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_light_beneficio_cta_trial_v1,ops_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_light_beneficio_cta_trial_v1&utm_term=ops_mx
2025-11-15,ad_saas_ia_marketing_1080x1080_metrics.svg,saasia,1080x1080,metrics,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_sq_metrics_eficiencia_cta_trial_v1,cmo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_sq_metrics_eficiencia_cta_trial_v1&utm_term=cmo_mx
2025-11-15,ad_saas_ia_marketing_1080x1080.svg,saasia,1080x1080,base,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_sq_base_cta_trial_v1,cdo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_sq_base_cta_trial_v1&utm_term=cdo_mx
2025-11-15,ad_saas_ia_marketing_1080x1920_metrics.svg,saasia,1080x1920,metrics,trial,stories,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_vt_metrics_eficiencia_cta_trial_v1,founder_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_vt_metrics_eficiencia_cta_trial_v1&utm_term=founder_mx
2025-11-15,ad_saas_ia_marketing_1080x1920.svg,saasia,1080x1920,base,trial,stories,linkedin,cpc,saasia_trial_linkedin_2025-11,saas_vt_base_cta_trial_v1,cmo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=saas_vt_base_cta_trial_v1&utm_term=cmo_mx
2025-11-15,carousel_slide_1_hook_1080x1080.svg,iabulk,carousel,hook,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,carousel_hook_bulk_slide1_v1,cmo_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=carousel_hook_bulk_slide1_v1&utm_term=cmo_mx
2025-11-15,carousel_slide_2_curso_1080x1080.svg,cursoia,carousel,curso,registro,feed,linkedin,cpc,cursoia_registro_linkedin_2025-11,carousel_curso_slide2_v1,student_mx,https://tusitio.com/registro,https://tusitio.com/registro?utm_source=linkedin&utm_medium=cpc&utm_campaign=cursoia_registro_linkedin_2025-11&utm_content=carousel_curso_slide2_v1&utm_term=student_mx
2025-11-15,carousel_slide_3_saas_1080x1080.svg,saasia,carousel,saas,trial,feed,linkedin,cpc,saasia_trial_linkedin_2025-11,carousel_saas_slide3_v1,cmo_mx,https://tusitio.com/trial,https://tusitio.com/trial?utm_source=linkedin&utm_medium=cpc&utm_campaign=saasia_trial_linkedin_2025-11&utm_content=carousel_saas_slide3_v1&utm_term=cmo_mx
2025-11-15,carousel_slide_4_bulk_1080x1080.svg,iabulk,carousel,bulk,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,carousel_bulk_slide4_v1,ops_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=carousel_bulk_slide4_v1&utm_term=ops_mx
2025-11-15,carousel_slide_5_cta_1080x1080.svg,iabulk,carousel,cta,demo,feed,linkedin,cpc,iabulk_demo_linkedin_2025-11,carousel_cta_bulk_slide5_v1,cmo_mx,https://tusitio.com/demo,https://tusitio.com/demo?utm_source=linkedin&utm_medium=cpc&utm_campaign=iabulk_demo_linkedin_2025-11&utm_content=carousel_cta_bulk_slide5_v1&utm_term=cmo_mx
2025-11-15,webinar-preroll-social-proof.svg,cursoia,preroll,socialproof,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_socialproof_v1,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_socialproof_v1&utm_term=alumnos_activos
2025-11-15,webinar-preroll-benefits-focused.svg,cursoia,preroll,benefits,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_benefits_v1,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_benefits_v1&utm_term=alumnos_activos
2025-11-15,webinar-preroll-speaker-focused.svg,cursoia,preroll,speaker,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_speaker_v1,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_speaker_v1&utm_term=alumnos_activos
2025-11-15,webinar-preroll-center-card.svg,cursoia,preroll,centercard,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_centercard_v1,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_centercard_v1&utm_term=alumnos_activos
2025-11-15,webinar-preroll-video-thumbnail.svg,cursoia,preroll,thumbnail,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_thumbnail_v1,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_thumbnail_v1&utm_term=alumnos_activos
2025-11-15,webinar-preroll-elegant.svg,cursoia,preroll,elegant,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_elegant_v1,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_elegant_v1&utm_term=alumnos_activos
2025-11-15,webinar-preroll-urgent-v2.svg,cursoia,preroll,urgent,registro,video,email,email,cursoia_webinar_ia_2025-11,preroll_urgent_v2,alumnos_activos,https://tusitio.com/webinar,https://tusitio.com/webinar?utm_source=email&utm_medium=email&utm_campaign=cursoia_webinar_ia_2025-11&utm_content=preroll_urgent_v2&utm_term=alumnos_activos
